graph,model,edrop,weights,val_RMSE_g,test_RMSE_g,val_R2,test_R2,best_epoch
hybrid_kmin2,SAGE,0.28,dupS5_E3,1394.6781005859375,1908.9000244140625,0.7719853520393372,0.6639891266822815,781
hybrid_kmin2,SAGE,0.32,dupS5_E3,1418.4561767578125,1923.1959228515625,0.7641441226005554,0.6589374542236328,425
hybrid_kmin2,SAGE,0.28,dupS3_E2,1433.5037841796875,1856.3553466796875,0.7591134905815125,0.6822327375411987,630
hybrid_kmin2,SAGE,0.36,dupS4_E2,1433.8494873046875,1879.3790283203125,0.7589973211288452,0.6743015050888062,528
hybrid_kmin2,SAGE,0.36,dupS5_E3,1445.3931884765625,1708.396728515625,0.7551010847091675,0.7308685779571533,719
hybrid_kmin2,SAGE,0.28,none,1470.2828369140625,1859.2305908203125,0.7465941905975342,0.6812475919723511,546
hybrid_kmin2,SAGE,0.32,dupS3_E2,1477.900390625,1894.4161376953125,0.7439615726470947,0.6690688133239746,339
hybrid_kmin2,SAGE,0.28,dupS4_E2,1479.8790283203125,1843.6756591796875,0.74327552318573,0.6865588426589966,474
hybrid_kmin2,SAGE,0.36,dupS3_E2,1487.530029296875,1915.8172607421875,0.7406141757965088,0.6615495085716248,381
hybrid_kmin2,SAGE,0.36,none,1495.22216796875,2114.064453125,0.7379245758056641,0.5878802537918091,644
hybrid_kmin2,SAGE,0.32,dupS4_E2,1510.9412841796875,1813.13232421875,0.7323852777481079,0.6968580484390259,360
hybrid_kmin2,SAGE,0.32,none,1522.8668212890625,1938.2734375,0.7281441688537598,0.6535687446594238,467
hybrid_kmin2,GCN,,none,2027.3201904296875,2249.65966796875,0.5182080864906311,0.5333184003829956,16
